,fov,volume,center_x,center_y,min_x,max_x,min_y,max_y
110883424764611924400221639916314253469,0,432.141,156.563,4271.33,151.53,161.596,4264.62,4278.03
135188247894899244046039873973964001182,0,1351.8,156.509,4256.96,148.29,164.728,4247.66,4266.26
164766962839370328502017156371562646881,0,1080.65,159.965,4228.18,152.178,167.752,4220.56,4235.81
165747897693809971960756442245389760838,0,1652,167.579,4323.87,158.226,176.932,4314.19,4333.55
260943245639750847364278545493286724628,0,1343.38,160.559,4308.8,152.394,168.724,4301.23,4316.37
332515239482476129412625869567854153692,0,960.214,160.613,4296.11,154.446,166.78,4289.03,4303.2
34872120390903230232457063888424149361,0,1101.28,165.689,4347.52,159.09,172.288,4339.68,4355.36
78824567290392583759149174270788785195,0,445.436,161.909,4319.22,157.254,166.564,4315.38,4323.07
78912778139286602007597933545624587149,0,409.057,161.693,4251.35,157.362,166.024,4246.15,4256.54
79348300038704795909383410217324322859,0,1702.84,174.383,4374.47,165.894,182.872,4364.2,4384.74
112315799428971059837534848038041808853,11,1454.6,353.811,2742.56,345.754,361.868,2733.31,2751.8
210195037023346762590879722650371700064,11,1586.98,366.555,2724.74,358.606,374.504,2716.03,2733.44
225678205628489765024995115598818613245,11,1567.74,349.653,2762.59,340.354,358.952,2754.91,2770.27
226970627149036985512064404522770557414,11,1475.14,341.229,2780.95,332.362,350.096,2772.41,2789.49
337569741715169530762455174860904566910,11,1291.63,330.051,2794.88,322.102,338,2786.66,2803.1
101749104962864163101921170104921674883,12,1121.36,347.949,2814.53,340.756,355.142,2807.77,2821.29
113425335266016764770886165837953002620,12,1038.5,334.503,2814.2,327.904,341.102,2804.53,2823.88
12472822624716547261007076567275804548,12,691.103,355.185,2885.54,348.1,362.27,2879.26,2891.81
126576512189555517054861881579697262527,12,626.296,286.983,2985.27,280.708,293.258,2980.78,2989.77
